stage,idx,SR_LOOKBACK,SR_PIVOT_WINDOW,SR_MERGE_ATR_MULT,ZONE_TOLERANCE_ATR_MULT,total,triggered,coverage,wins_1m,losses_1m,wr_1m,wins_3m,losses_3m,wr_3m,wins_5m,losses_5m,wr_5m,objective
support_resistance,83,50,4,0.5,1.2,102,1,0.9803921568627451,1,0,100.0,1,0,100.0,1,0,100.0,90.09803921568627
support_resistance,84,50,4,0.5,2.0,102,1,0.9803921568627451,1,0,100.0,1,0,100.0,1,0,100.0,90.09803921568627
support_resistance,85,50,4,0.5,4.0,102,1,0.9803921568627451,1,0,100.0,1,0,100.0,1,0,100.0,90.09803921568627
support_resistance,89,50,4,0.8,2.0,102,1,0.9803921568627451,1,0,100.0,1,0,100.0,1,0,100.0,90.09803921568627
support_resistance,90,50,4,0.8,4.0,102,1,0.9803921568627451,1,0,100.0,1,0,100.0,1,0,100.0,90.09803921568627
support_resistance,93,70,2,0.3,1.2,102,1,0.9803921568627451,1,0,100.0,1,0,100.0,1,0,100.0,90.09803921568627
support_resistance,94,70,2,0.3,2.0,102,1,0.9803921568627451,1,0,100.0,1,0,100.0,1,0,100.0,90.09803921568627
support_resistance,95,70,2,0.3,4.0,102,1,0.9803921568627451,1,0,100.0,1,0,100.0,1,0,100.0,90.09803921568627
support_resistance,99,70,2,0.5,2.0,102,1,0.9803921568627451,1,0,100.0,1,0,100.0,1,0,100.0,90.09803921568627
support_resistance,100,70,2,0.5,4.0,102,1,0.9803921568627451,1,0,100.0,1,0,100.0,1,0,100.0,90.09803921568627
support_resistance,105,70,2,0.8,4.0,102,1,0.9803921568627451,1,0,100.0,1,0,100.0,1,0,100.0,90.09803921568627
support_resistance,108,70,3,0.3,1.2,102,1,0.9803921568627451,1,0,100.0,1,0,100.0,1,0,100.0,90.09803921568627
support_resistance,109,70,3,0.3,2.0,102,1,0.9803921568627451,1,0,100.0,1,0,100.0,1,0,100.0,90.09803921568627
support_resistance,110,70,3,0.3,4.0,102,1,0.9803921568627451,1,0,100.0,1,0,100.0,1,0,100.0,90.09803921568627
support_resistance,113,70,3,0.5,1.2,102,1,0.9803921568627451,1,0,100.0,1,0,100.0,1,0,100.0,90.09803921568627
support_resistance,114,70,3,0.5,2.0,102,1,0.9803921568627451,1,0,100.0,1,0,100.0,1,0,100.0,90.09803921568627
support_resistance,115,70,3,0.5,4.0,102,1,0.9803921568627451,1,0,100.0,1,0,100.0,1,0,100.0,90.09803921568627
support_resistance,120,70,3,0.8,4.0,102,1,0.9803921568627451,1,0,100.0,1,0,100.0,1,0,100.0,90.09803921568627
support_resistance,123,70,4,0.3,1.2,102,1,0.9803921568627451,1,0,100.0,1,0,100.0,1,0,100.0,90.09803921568627
support_resistance,124,70,4,0.3,2.0,102,1,0.9803921568627451,1,0,100.0,1,0,100.0,1,0,100.0,90.09803921568627
support_resistance,125,70,4,0.3,4.0,102,1,0.9803921568627451,1,0,100.0,1,0,100.0,1,0,100.0,90.09803921568627
support_resistance,128,70,4,0.5,1.2,102,1,0.9803921568627451,1,0,100.0,1,0,100.0,1,0,100.0,90.09803921568627
support_resistance,129,70,4,0.5,2.0,102,1,0.9803921568627451,1,0,100.0,1,0,100.0,1,0,100.0,90.09803921568627
support_resistance,130,70,4,0.5,4.0,102,1,0.9803921568627451,1,0,100.0,1,0,100.0,1,0,100.0,90.09803921568627
support_resistance,134,70,4,0.8,2.0,102,1,0.9803921568627451,1,0,100.0,1,0,100.0,1,0,100.0,90.09803921568627
support_resistance,135,70,4,0.8,4.0,102,1,0.9803921568627451,1,0,100.0,1,0,100.0,1,0,100.0,90.09803921568627
support_resistance,1,40,2,0.3,0.6,102,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,2,40,2,0.3,0.8,102,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
